"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23"
"75",4.55063646580183,4.27052170046669,6.92802599590811,4.68856596023276,2.59871168130896,4.01471876427794,1.92902256205752,1.96471098554591,3.35403194585764,1.16978361213084,0.992146453619654,6.10350786927297,1.75598508084304,1.26663352509884,0.162253035850616,0.480503802731584,2.85231146238075,2.70584052768018,2.71139890384179,0.486046986452084,3.44530418980394,10.4038057468468,7.39149289095203
"76",2.51676040977442,2.36414118796944,2.83355262306595,2.60036198620891,1.42500770600746,2.22788190439749,0.758041180381386,0.759745794595612,1.86327318207806,0.439285638773206,0.38792127639563,2.48178573524602,0.683926700224258,0.519732895066792,0.0203581077572046,0.147425168721165,1.15187034532551,1.11381249374038,1.10418724382472,0.190619797593563,1.37970362904157,5.39081995903602,3.01745100761399
"77",6.83778843329837,6.41472460042987,3.65755549129514,7.03836453803622,3.9185393405176,6.02611260881569,0.999962965490264,1.01095222547072,5.03142513910008,0.593984142432222,0.515399466353389,3.21260590056027,0.907476849011826,0.669617145496501,0.058219664692987,0.224201821246862,1.49782163381456,1.43246473554969,1.42825427722742,0.253745781999646,1.80127330424231,7.01313768712791,3.89774832857286
"78",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.94508821632285,0
"79",1.37292878208833,1.29213556563377,3.65241892247328,1.42652101448806,0.765891486566224,1.22386901473888,0.988542591396222,0.995194675816782,1.02493885286599,0.580253647657549,0.510871281318708,3.20251699394339,0.895860110213621,0.669144841787372,0.043225845698636,0.207806616400574,1.49161804054634,1.43250125080283,1.42439879840714,0.25250604535456,1.78913825133149,6.63250634534343,3.88946319558168
"80",2.77229279180694,2.60363534310815,4.06586836370101,2.86287116118529,1.57489204172312,2.45299973464107,1.11138190116277,1.12322503179447,2.08413989530207,0.659606875321539,0.576673682906634,3.56945767220896,1.01001847798671,0.744232834811586,0.0643791653789968,0.248548472238834,1.66622941821995,1.59192160097988,1.58707260493166,0.285455871666968,2.00200800026657,8.23862404310224,4.33093194424278
"81",0,0,0,0,0,0,0,0,0.117408853457788,0,0,0,0,0,0,0,0,0,0,0,0,2.28652525104297,0
"82",0,0,0,0,0,0,0,0,0.144266444427279,0,0,0,0,0,0,0,0,0,0,0,0,1.73911474803576,0
"83",2.51918146758691,2.36620708180666,2.84025553447495,2.6024511418587,1.43021035997473,2.23014853941779,0.764397221497089,0.76746457836135,1.97918452254194,0.445302413104464,0.398837170176557,2.48657821389141,0.693407973543104,0.520430085600736,0.0271463996701561,0.154357744264142,1.15924609239526,1.11442976571326,1.10637226110751,0.198832077703501,1.38702306163248,5.03778582623252,3.02178997791841
"84",8.23511999206134,7.72496842753182,3.66166511426996,8.47490574894081,4.72522445035946,7.25626003296857,1.00197435461274,1.01285103602125,7.08021661909085,0.595047408253673,0.523196370737514,3.21369698285576,0.912037602485558,0.670062433289719,0.0595625271944574,0.225261453289289,1.50218520193934,1.43975415892775,1.42896607493732,0.260234791946849,1.80388221481166,7.18871109475043,3.89898073999446
"85",0,0,0,0,0,0,0,0,0.433521960105648,0,0,0,0,0,0,0,0,0.195005854190243,0,0,0,1.81838138361541,0
"86",0,0,0,0,0,0,0,0,0.322791629541276,0,0,0,0,0,0,0,0,0.294769820658195,0,0,0,1.44242382497291,0
"87",0,0,0,0,0,0,0,0,0.165573814044344,0,0,0,0,0,0,0,0,0.150924526862168,0,0,0,0.740380326524136,0
"88",0,0,0,0,0,0,0,0,0.0851524339656487,0,0,0,0,0,0,0,0,0.0774629826361707,0,0,0,0.381047372031911,0
"89",0.484680016079068,0.4595771010017,0.791132780024074,0.514859399990075,0.256381697244568,0.444449854145695,0.172424330632585,0.155752663307867,0.460938690559619,0.0718170181802809,0.0963865876670364,0.669767574160951,0.151602376697674,0.146827546762278,0,0,0.306558378680908,0.367520308357826,0.300589151865971,0.0523926941253227,0.347484969727545,1.21662234983448,0.829993962347079
"90",0,0,0,0,0,0,0,0,0.0227246386332221,0,0,0,0,0,0,0,0,0.020581132178502,0,0,0,0.101856714095985,0
"91",6.83177267323387,6.41086721000529,6.52121182198885,7.03835436923257,3.91108556851418,6.02824764450458,1.8031601017779,1.83031990848236,6.81497818112042,1.08340935590555,0.94259314923266,5.73218354507551,1.64503264225841,1.19232344711434,0.133886979099475,0.430853516816377,2.6842204215409,3.1570379297056,2.54778675186743,0.468382673654061,3.23039777116508,10.8615638712703,6.94726579337797
"92",0.482320920074919,0.458101901650566,0,0.515008569936546,0.253619597552288,0.445518074775466,0,0,0.807191814969159,0,0,0,0,0,0,0,0,0.505728737637702,0,0,0,1.88499117099015,0
"93",0,0,0,0,0,0,0,0,0.245816996177207,0,0,0,0,0,0,0,0,0.440974263378564,0,0,0,1.64123229970836,0
"94",0,0,0,0,0,0,0,0,0.153319689382013,0,0,0,0,0,0,0,0,0.226040357839804,0,0,0,0.841355328733377,0
"95",0,0,0,0,0,0,0,0,0.07873503317033,0,0,0,0,0,0,0,0,0.116161119264252,0,0,0,0.432412099488736,0
"96",0,0,0,0,0,0,0,0,0.0405428611056959,0,0,0,0,0,0,0,0,0.0598597855862915,0,0,0,0.222855184974872,0
"97",0,0,0,0,0,0,0,0,0.0209361598047303,0,0,0,0,0,0,0,0,0.0309361701943894,0,0,0,0.115191301955337,0
"98",0,0,0,0,0,0,0,0,0.0108418588387639,0,0,0,0,0,0,0,0,0.0160332505996463,0,0,0,0.0597147061750256,0
"99",0,0,0,0,0,0,0,0,0.005624922973398,0,0,0,0,0,0,0,0,0.00832357695485577,0,0,0,0.0310194681956516,0
"100",0,0,0,0,0,0,0,0,0.00292235432706492,0,0,0,0,0,0,0,0,0.00432611514918744,0,0,0,0.0161403569341054,0
"101",0,0,0,0,0,0,0,0,0.00152142159114272,0,0,0,0,0,0,0,0,0.00225236433617462,0,0,0,0.00841668952217294,0
"102",0,0,0,0,0,0,0,0,0.000789848614771321,0,0,0,0,0,0,0,0,0.00116795571002403,0,0,0,0.00437873770421952,0
"103",0,0,0,0,0,0,0,0,0.000403784240058575,0,0,0,0,0,0,0,0,0.000596536665601759,0,0,0,0.00225310547068583,0
"104",0,0,0,0,0,0,0,0,0.000187408122148018,0,0,0,0,0,0,0,0,0.000272856147648524,0,0,0,0.00106620734733982,0
"105",0,0,0,0,0,0,0,0,7.80931386778721e-05,0,0,0,0,0,0,0,0,0.000110558642375267,0,0,0,0.000465103027817164,0
"106",0,0,0,0,0,0,0,0,2.26819569525581e-05,0,0,0,0,0,0,0,0,2.81158398025717e-05,0,0,0,0.000157106216088903,0
"107",0,0,0,0,0,0,0,0,1.28344630419987e-05,0,0,0,0,0,0,0,0,5.12535985837549e-05,0,0,0,8.66999551202207e-06,0
"108",11.5490962849837,10.8379245032266,5.40795790522425,11.6366554461029,6.47308749601703,10.0053970836892,1.4898087451244,1.50158562986675,12.9901619146242,0.927974443691378,0.789067383050618,4.69457331037022,1.32096583823623,0.97348982991225,0.0974955531349469,0.357895617294764,2.21780951506006,2.91966636405385,2.22446598728091,0.399429468569848,2.86443645288675,7.39693588897741,6.07385909348662
